ticker,name,run_date,prior_status,new_status,prior_score,new_score
DENTA,Denta Water & Infra Solutions Ltd,2026-04-06,New,Investable,,72.41
IIFL,IIFL Finance Ltd,2026-04-06,New,Investable,,74.82
NORTHARC,Northern ARC Capital Ltd,2026-04-06,New,Investable,,74.31
CCAVENUE,AvenuesAI Ltd,2026-04-06,New,Investable,,80.78
ELECTHERM,Electrotherm (India) Ltd,2026-04-06,New,Watchlist,,67.21
SHRIRAMFIN,Shriram Finance Ltd,2026-04-06,New,Watchlist,,66.45
MAHABANK,Bank of Maharashtra,2026-04-06,New,Investable,,71.02
ASHOKA,Ashoka Buildcon Ltd,2026-04-06,New,Watchlist,,69.94
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,2026-04-06,New,Investable,,71.92
BEL,Bharat Electronics Ltd,2026-04-06,New,Investable,,74.14
VASCONEQ,Vascon Engineers Ltd,2026-04-06,New,Watchlist,,64.84
PETRONET,Petronet LNG Ltd,2026-04-06,New,Investable,,70.75
SUNTV,Sun TV Network Ltd,2026-04-06,New,Investable,,75.75
MSTCLTD,MSTC Ltd,2026-04-06,New,Investable,,77.25
LAXMIDENTL,Laxmi Dental Ltd,2026-04-06,New,Investable,,73.0
LTF,L&T Finance Ltd,2026-04-06,New,Watchlist,,68.76
M&MFIN,Mahindra & Mahindra Financial Services Ltd,2026-04-06,New,Investable,,71.18
DAMCAPITAL,Dam Capital Advisors Ltd,2026-04-06,New,Investable,,75.12
ENGINERSIN,Engineers India Ltd,2026-04-06,New,Watchlist,,68.19
ZUARI,Zuari Agro Chemicals Ltd,2026-04-06,New,Watchlist,,65.27
AUBANK,AU Small Finance Bank Ltd,2026-04-06,New,Watchlist,,50.68
ABSLAMC,Aditya Birla Sun Life AMC Ltd,2026-04-06,New,Watchlist,,68.92
JYOTHYLAB,Jyothy Labs Ltd,2026-04-06,New,Investable,,72.97
CIGNITITEC,Cigniti Technologies Ltd,2026-04-06,New,Investable,,71.18
MAZDOCK,Mazagon Dock Shipbuilders Ltd,2026-04-06,New,Investable,,71.5
HDFCAMC,HDFC Asset Management Company Ltd,2026-04-06,New,Watchlist,,68.07
NAM-INDIA,Nippon Life India Asset Management Ltd,2026-04-06,New,Watchlist,,66.15
NAVNETEDUL,Navneet Education Ltd,2026-04-06,New,Investable,,72.0
